                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0926,                 3.4956,                 4.1451,                0.00354,                0.82143,                0.17024,                0.03793,                 2.1969,                    3.8,                 4.1448,                0.00028,                0.00028,                0.00028
                      2,                 3.0875,                 3.2264,                 3.9958,                0.00354,                0.82143,                0.12883,                0.03374,                 2.1709,                 3.8256,                 4.0749,             0.00057426,             0.00057426,             0.00057426
                      3,                 2.9493,                 3.0782,                 3.7772,                0.00359,                0.83333,                0.01723,                0.00598,                 2.1549,                 3.8123,                 4.0515,             0.00086258,             0.00086258,             0.00086258
                      4,                 2.8294,                 2.9399,                 3.5848,                0.00359,                0.83333,                0.02385,                0.00775,                 2.1824,                  3.781,                 3.9053,               0.001145,               0.001145,               0.001145
                      5,                 2.6638,                  2.903,                  3.366,                0.23496,                0.27381,                0.17245,                0.06336,                 1.9932,                 3.5896,                 3.4342,              0.0014214,              0.0014214,              0.0014214
                      6,                 2.5362,                 2.6269,                 3.2241,                0.16614,                0.32143,                 0.1673,                0.06941,                 2.1639,                 3.5771,                 3.4813,              0.0016919,              0.0016919,              0.0016919
                      7,                 2.4765,                 2.5262,                 3.1064,                  5e-05,                 0.0119,                  3e-05,                      0,                 4.2869,                 5.7618,                 7.0021,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.3707,                 2.3154,                 2.9688,                0.00377,                0.38095,                0.00445,                0.00063,                 4.7552,                 4.1381,                 7.7109,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.2234,                 2.1377,                 2.8465,                0.03981,                0.40476,                0.03727,                0.01558,                 2.5861,                 45.616,                 3.7066,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.0718,                  2.128,                 2.7231,                0.18767,                0.15476,                0.09273,                0.04636,                 2.2283,                 14.977,                 3.7178,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.0549,                 2.0448,                 2.6481,                0.13503,                0.34383,                0.16955,                0.04068,                 2.6424,                 21.183,                 4.6619,               0.001802,               0.001802,               0.001802
                     12,                 1.9668,                 1.8722,                 2.5422,                0.26835,                0.40172,                0.21737,                0.08473,                 2.2157,                 2.6525,                 4.3322,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.9443,                 1.8968,                 2.4889,                0.51501,                 0.2619,                0.28139,                0.10392,                 2.1127,                 7.1412,                 4.1183,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.8432,                 1.7046,                 2.4058,                0.69498,                 0.2619,                0.33192,                0.10843,                 2.4752,                 4.8165,                 3.6425,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.7943,                 1.6285,                 2.2894,                0.60862,                0.59524,                0.46921,                 0.2386,                 1.6388,                 2.1625,                  2.647,              0.0017228,              0.0017228,              0.0017228
